"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Reco","Day Off","","","","2022-04-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afternoon MTB (if possible)","MTB","This only if feasible with daylight/ commitments etc.","1","","2022-04-19","","17513.16015625","","",""," *19/04/2022 Matthew Roberts: Half the track is open!  Lower back not happy. Probably from not enough MTB. It’s always flared up when doing laps on the mtb* *21/04/2022 Justin Morris: Finally back on the MTB :-). Must've felt good after the fing home trainer ay. Hopefully stays open for a while now.*","1.30527782440186","3.72699999809265","","79","","131","168","","","0.688160895396823","68.93","14","11","23","14","16","1","0","","","","","","","","","","","","","","3","5"
"Pre breakfast spin- Reco","Bike","This is hard also I know but a great idea if you do get the right amount of sleep (7hrs or more). If you can set the alarm early and just hop on the trainer even just for 15-20min.. Easy spinning.. Just enough to break sweat. This is an old school pro cycling technique used to lose weight. The idea is that as soon as you wake up if you exercise right away before brekkie you are burning away at the ,latent energy in your body, not the food you've just consumed.","0.333333333333333","","2022-04-20","If you make this a habit just once or twice a week you should notice the benefits. Adequate rest the night before is key though.","10879.7998046875","","","","","0.469999998807907","6.42999982833862","","85","","121","159","","","0.640601059391135","20.97","7","5","12","3","2","0","0","","","","","","","","","","","","","","2","1"
"2min, 90s, 60s, 30s","Bike","Outside ok for this if weather ok, should be hard but not too painful. Good little block that you will get something out of. Could work this into a commute.","1.01666666666667","","2022-04-20","","12343.669921875","","",""," *20/04/2022 Matthew Roberts: I did not like that at all. I went as hard as I could but never got near my targets.* *20/04/2022 Matthew Roberts: Might have had too much pizza before the ride as well* *21/04/2022 Justin Morris: Pizza would'nt help this one. But remember HR is not a performance indicator, there are too many extraneous variables that influence it. So these efforts, I prob should have put in RPE so if you put effort in that is the main thing.*","0.994166672229767","3.44899988174438","","79","","138","178","","","0.748827921235229","61.75","5","6","20","10","8","7","3","","","","","","","","","","","","","","9","9"
"Road bike- Bobbo commute","Bike","If you have time for this would be ideal. If you can leave earlier: Ride easy to Bobbo: On climb: 9/10 pace so 160+bpm until toll booth, then after toll booth: 10/10 from toll booth to the crest of the hill by the school. Then easy rest of the way into Mac. If way home is easier to get bobbo in; same approach on Bobbo west but after kalkari it's 10RPE for 40s out of saddle.","2.5","","2022-04-21","This is what helps lift your perspective of what is hard and of course your anaerobic capacity. Generally the topography tends to dictate effort, this is trying to override the topography with your psychology/ motivation. The top IS NOT the top. I will keep hammering :-).","58613.91015625","","",""," *21/04/2022 Matthew Roberts: Felt good. Bobbo west time was within 2 mins of my best ever which is encouraging. Tried eating pizza on the bike this time :)* *21/04/2022 Justin Morris: NICE!! Food ON the bike is key.. Pizza sounds messy, unless was those old trolli pizza gummy things.*","2.65027785301208","6.14300012588501","","81","","127","178","","","0.665350273396344","133.18","30","32","62","14","10","9","2","","","","","","","","","","","","","","5","3"
"EASY commute","MTB","Tomac climb way (if dry). Just easy pedalling today. The beauty of the MTB is can keep a high cadence with lower power due to the easier ratio's.","2","","2022-04-22","","19238.5390625","","",""," *23/04/2022 Matthew Roberts: Legs feel very fatigued off the bike - it’s been a big week - but ok taking it easy* *25/04/2022 Justin Morris: Yeah, looking at the 'TSB' number indicates you have been pressing on the pedals pretty well lately and subsequently fatigued.. Will take a little less full on approach next week.*","1.12638890743256","4.74399995803833","","80","","109","144","","","0.596766097931271","44.57","36","15","16","1","0","0","0","","","","","","","","","","","","","","1","5"
"Afternoon MTB (if possible)","MTB","","2","","2022-04-23","","27881.26953125","","",""," *23/04/2022 Matthew Roberts: Like yesterday. Woke with stiff legs but went anyway. Took it easy, all was well* *25/04/2022 Justin Morris: Can roll out the stiff leg feeling. often when starting a ride legs can feel like cement but then once you blow cobwebs out you can come good. Easy gear for first 30min is key with high cadence.*","2.00861120223999","3.85599994659424","","78","","130","174","","","0.711247462187297","114.54","21","21","29","15","24","10","0","","","","","","","","","","","","","","6","5"
"M7 ride","Bike","Same as last week with food :-).","3","","2022-04-24","","80380.5703125","","",""," *24/04/2022 Matthew Roberts: Much better. Had 900cal on the ride. Vegemite vitaweets and muesli bars and iso drink* *25/04/2022 Justin Morris: GOOD! Keep experimenting with the mid ride fuelling.*","3.00027775764465","7.44199991226196","","88","","143","176","","","0.742205565113964","188.19","5","8","47","63","48","10","1","","","","","","","","","","","","","","7","3"
"Reco","Day Off","","","","2022-04-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pre breakfast spin- Reco","Bike","This is hard also I know but a great idea if you do get the right amount of sleep (7hrs or more). If you can set the alarm early and just hop on the trainer even just for 15-20min.. Easy spinning.. Just enough to break sweat. This is an old school pro cycling technique used to lose weight. The idea is that as soon as you wake up if you exercise right away before brekkie you are burning away at the ,latent energy in your body, not the food you've just consumed.","0.333333333333333","","2022-04-26","If you make this a habit just once or twice a week you should notice the benefits. Adequate rest the night before is key though.","7026.009765625","","","","","0.336944431066513","5.79199981689453","","84","","116","139","","","0.61225858526897","13.62","5","9","6","0","0","0","0","","","","","","","","","","","","","","",""
"STEPS!","Bike","Good builder and race simulator. Second set will be harder, DIG in!! Ignore the HR targets for the recovery segments. That is just easy riding.","1.08333333333333","","2022-04-27","","23308.91015625","","",""," *27/04/2022 Matthew Roberts: Can confirm. Was hard.* *28/04/2022 Justin Morris: Good work! You did this right then ;-).*","1.08527779579163","5.96600008010864","","84","","137","185","","","0.757360505355956","69.1","10","7","18","10","6","8","5","","","","","","","","","","","","","","9","3"
"1min on/off","Bike","Efforts starting to get a bit more 'racey'. Could work this into your commute, be imaginative with the route choice. Again focus on those HR targets for the efforts but outside of those it is just easy pedalling.","1.5","","2022-04-28","Flat road will be ideal","27591.609375","","",""," *28/04/2022 Matthew Roberts: I seem to have settled into using the trainer just fine. Who knew?* *28/04/2022 Justin Morris: It is efficient and good time to be comfortable with it coming into Winter. Glad you hooked up with Micko, that is really going to help your cycling from now.*","1.39083337783813","5.51100015640259","","81","","124","175","","","0.684134824301044","72.71","28","18","9","14","10","4","0","","","","","","","","","","","","","","6","1"
"Indoor Cycling","Bike","","","","2022-04-28","","1854.26000976563","","","","","0.132222220301628","3.89599990844727","","81","","95","102","","","0.611287340621148","5.2","8","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"General Endurance commute","Bike","Have fun! MTB or Road pending weather/ trail conditions.","2","","2022-04-29","","19227.69921875","","",""," *29/04/2022 Matthew Roberts: I’ve always wanted to climb mt faulk road and I’m in the area-why not?  Awaba is open so even better….. Awaba is a wet mess and I needed more gears to enjoy mt faulk on such a humid day ;). Survived and made it. Overdid it thougg* *29/04/2022 Matthew Roberts: Had considered bumble hill for Sunday but I’m scrubbing that idea. That climb will have to remain in the todo list for now* *02/05/2022 Justin Morris: Awesome man!! Congrats!! That is a legit climb!! Good onya. Solid effort, good way to avoid the slop of the singletrack too! Bumble next weekend :-).*","2.07999992370605","2.56800007820129","","73","","149","174","","","0.794796008526611","148.24","2","4","24","24","47","23","1","","","","","","","","","","","","","","8","7"
"General Endurance","Bike","Bit longer than last week but keep the focus on the mid ride nutrition.","3.5","","2022-05-01","","87684.8125","","",""," *01/05/2022 Matthew Roberts: put down a muesli bar, bag of lollies, and three cheese and bacon roles from woolies.  That's got to be enough right?* *02/05/2022 Justin Morris: Awesome! Carb fest :-). That will keep you going!! Did you notice much difference in how much power you could generate later in the ride?* *02/05/2022 Justin Morris: Nice central coast riding. Best of the roads up there!*","3.45805549621582","7.04400014877319","","86","","143","172","","","0.734984674978026","213.46","3","7","55","82","55","5","0","","","","","","","","","","","","","","7","5"
"1min+20s sharpeners","Bike","At the end of a 40min tap hammer out those efforts will be great again getting more 'racey'.","1.02777777777778","","2022-05-02","","21903.109375","","",""," *02/05/2022 Matthew Roberts: Those fatigue numbers in training peaks are pretty accurate according to my legs* *02/05/2022 Justin Morris: Those rides Fri and Sun will be taking their toll enjoy the reco Tuesday!*","1.03138887882233","5.89900016784668","","85","","124","177","","","0.646198035434068","47.75","5","26","22","3","4","2","0","","","","","","","","","","","","","","6","7"
"Reco Week","Day Off","Going on a 3:1 hard:easy week with your program at present. Which seems to be working spot on with your feelings.","","","2022-05-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy commute","Bike","Quickest way to and from work.","1.5","","2022-05-04","","22951.2890625","","",""," *04/05/2022 Matthew Roberts: I seem to be very slow. Oh well* *06/05/2022 Justin Morris: This week that would be the feeling indeed. Your body is cooked from the hard work past few weeks hence easy/slow riding this week is part of the process enabling the growth for the next step up in fitness. The easy weeks are real easy riding! With just 1 harder session when appropriate.*","1.67111110687256","3.81500005722046","","76","","119","165","","","0.637791507805959","76.28","34","11","32","16","6","1","0","","","","","","","","","","","","","","2","7"
"Reco","Day Off","","","","2022-05-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bumble Hill!!","MTB","Same kind of pace as last Sunday but a bit longer. Time to give Bumble a crack. You have 3 options: -Up the road (steeper) -Up the dirt road to the right of the sealed road (less steep). -Take the fire trail up through Ourimbah state forest (longest and hardest option).","4","","2022-05-06","","86051.6796875","","",""," *06/05/2022 Matthew Roberts: Could get enough time (mother's day weekend) to get up to bumble hill.  Locals tell me the trails are a soggy mess as well.  I squeezed in three sessions between work.  Totally not feeling it, very slow.  Don't know why.* *09/05/2022 Justin Morris: Good 3 sessions today mate. Moving this to Friday from the weekend made it fall a bit soon whilst that 'form' score was still in the negative so feelings would have been pretty rubbish today. Still is miles in the bank through!*","4.03249979019165","5.92799997329712","","80","","122","177","","","0.637702816983845","188.11","65","40","84","35","12","4","1","","","","","","","","","","","","","","2","7"
"Easy ride/ local","Bike","Just a 2hour toodle, no pressure on effort. Just turn legs over.","2","","2022-05-07","","37993.55078125","","",""," *07/05/2022 Matthew Roberts: Getting my mojo back.* *09/05/2022 Justin Morris: Will make next week reasonably easy also, didn't get the fatigue score down much last week. You are going to go well when you bounce back from this block!*","2.12138891220093","4.97499990463257","","82","","128","180","","","0.686180680225007","112.75","25","18","37","22","20","4","1","","","","","","","","","","","","","","5","3"
"Reco","Day Off","","","","2022-05-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reco","Day Off","","","","2022-05-09","","","","",""," *09/05/2022 Matthew Roberts: FYI: Its going to rain all week and I am not commuting so trainer sessions preferred please.* *09/05/2022 Justin Morris: Ah shite. Back on the trainer, good thing you have learned to love the thing :-).*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Inverted pyramid of power","Bike","1 structured session this week, good for the trainer or try best to work it into your commute if it is nice out. Remember the HR numbers outside of the efforts are just easy riding, disregard how low the numbers are. Another one predominant focus on cardio but keeping a check in with those anaerobic levels.","0.933333333333333","","2022-05-10","","18556.8203125","","",""," *11/05/2022 Matthew Roberts: An evening hit out in the trainer is actually quite fun. What have I become?* *12/05/2022 Justin Morris: Who would've thought! Soon you'll be ready for a smart trainer and the zwift program!! Good work mate!*","0.936111092567444","5.50600004196167","","91","","125","181","","","0.684386402607423","48.49","16","17","9","5","4","5","1","","","","","","","","","","","","","","6","5"
"Home Trainer 1 Leg Session !","Bike","Good one to revisit when stuck on the home trainer and prioritising active recovery. Never too late or too good to revisit the fundamentals of a smooth pedal stroke :-).This is designed to SMOOTH out your pedalling motion. It is very, very effective but also quite challenging! Set up a chair or something to prop your non working leg on next to the trainer. The main priority in this is to be SMOOTH! No stress about heart rate or power or anything else. Smooth, like you are buttering toast with peanut butter and the bottom of your foot is the knife. If you can turn you Wahoo OFF and just use it as a regular trainer would be best as I don't want you to stress about numbers per se. The 9 & 6 RPE on the workout builder are just to indicate when the 1 leg sessions are. NO power, NO HR really required The 1 minute between each 1 leg sector allows a bit of recovery (clip both legs back in for this 1 min) Then that 10min working session toward the end both legs in and I want you to note if you feel any different sensations in your pedal stroke after doing the 1 leggers Another KEY building block for a cyclist, this is FORM and STYLE on the bike - this is what allows you to push more power through the pedals when we dial this in.","0.85","","2022-05-11","This will give you 4x1 min Left leg and 4x 1min Right leg. Nice and even! Get familiar with doing this style of work as I'll be asking you to do more of it ;-).","17186.580078125","","","","","0.869722247123718","5.48899984359741","","86","","119","157","","","0.62375629161481","37.36","9","24","14","2","3","0","0","","","","","","","","","","","","","","",""
"Reco","Day Off","","","","2022-05-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1min+10s sharpeners","MTB","Suggest dong this one on MTB.","1.04166666666667","","2022-05-14","","63928.4296875","","",""," *14/05/2022 Matthew Roberts: Tomorrow's race cancelled.  Just going with the flow instead.  Did a group ride and gave it some beans on the climbs to test out the adjustments Mick made to my position.  Knee complaining, we will see if it is still complaining in a week.* *15/05/2022 Matthew Roberts: Maybe not the best idea, legs so sore overnight.  The new position (saddle up 10mm is the only significant change) on the bike uses new muscles that are complaining bitterly.* *15/05/2022 Justin Morris: Hey Matthew, Suggest getting your legs into a cold bath or a cold shower even, and then getting them up against a wall. Perhaps some light stretching this week too. How is the knee feeling today?* *15/05/2022 Matthew Roberts: Knee feeling ok. I’m going to do an hour on the trainer tonight to test it since there was no race today*","3.0625","5.7979998588562","","84","","130","193","","","0.710155974434112","175.95","42","29","49","21","19","13","10","","","","","","","","","","","","","","8","3"
"Short ride pre race","MTB","15-20min. Will be enough to fire up the legs for the race without compromising too much energy. Keep in easy gear with high cadence.","0.25","","2022-05-15","","15658.169921875","","",""," *15/05/2022 Matthew Roberts: Knee about 80%. Humidity 100%. Yuck*","0.65194445848465","6.67199993133545","","85","","132","168","","","0.693183421837517","34.33","5","2","16","9","6","0","0","","","","","","","","","","","","","","9","7"
"Reco","Day Off","","","","2022-05-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Commute/ General Endurance","Bike","If you have time today, let me know uni holiday dates when you can too.","2","","2022-05-17","","25081.509765625","","",""," *17/05/2022 Matthew Roberts: Knee complaining again. It is clearly not happy with the new height but it’s totally bearable. I’ll give it more time to see if it adapts. Uni holidays are not much different for me but start mid june* *17/05/2022 Justin Morris: Send a message to Mick and see what he suggests - although that might be an ""ideal saddle height"" perhaps its not YOUR ideal height and dropping it 5mm might be better. working through pain is never a good idea.* *18/05/2022 Matthew Roberts: Will do. It’s not pain so much. It’s something that used to happen a lot but seemed to have gone away. I get little tweaks of pain and the front of my knee gets numb. Really wires.*","1.75138890743256","3.9779999256134","","78","","117","164","","","0.622943692382388","76.35","39","19","32","9","5","0","0","","","","","","","","","","","","","","",""
"Race BANGER!","Bike","Good race preparation! Especially tailored for XCO. The HR numbers are a good goal, if on trainer just aim for the lower number in the range but no stress if they are not cooperating.","1.08333333333333","","2022-05-18","Bit of a mix of speed, tempo and endurance training!","24720.9296875","","",""," *18/05/2022 Matthew Roberts: That was really tough* *23/05/2022 Justin Morris: It's a pretty solid little session adn can be a great one in the week leading up to a race to give a bit of load and tension in the legs. Cheers Fiona*","1.08472228050232","6.33099985122681","","84","","131","176","","","0.73296854899948","64.69","21","4","8","10","18","3","1","","","","","","","","","","","","","","9","5"
"Reco","Day Off","","","","2022-05-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy/ Active recovery spin- 1 hand focus","Bike","Shorter/ easier spin today. Good opportunity on these easier rides to revisit and check in on some of the fundamental skills we have focused on hitherto. If you can find a steady gradient hill of a few minutes in length try 20s alternating between 1 handed left hand and 1 handed right hand. Focussing on keeping the bike straight whilst 1 handed, should feel it in the oblique stabilising muscles too.","1","","2022-05-20","","21129.25","","",""," *20/05/2022 Matthew Roberts: On the trainer cos it’s raining again. Looks like the race will be cancelled again. There’s two on Sunday but I don’t think either will go ahead. What should I do instead?*","1.00805556774139","5.82200002670288","","80","","114","136","","","0.58983345863577","38.86","14","16","31","0","0","0","0","","","","","","","","","","","","","","1","5"
"1min+10s sharpeners","MTB","Suggest dong this one on MTB. Extra one this week pre race.","1.11111111111111","","2022-05-21","","17141.91015625","","",""," *21/05/2022 Matthew Roberts: Race is on apparently?*","1.2672221660614","3.75799989700317","","","","125","183","","","0.648948194951804","59.47","10","20","36","5","2","2","1","","","","","","","","","","","","","","2","3"
"Pre Race breathing tips","Other","4 seconds: breathe in through nose 4 seconds: hold breath 4 seconds: long breath out through mouth","","","2022-05-22","The idea of this is it lowers your heart rate; especially important in any scenario that is anxiety enducing, nerve wracking. Enables more clarity of thought and free's up more calories to be used as power to the pedals rather than worry calories..","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2022-05-22","","13373.01953125","","",""," *22/05/2022 Matthew Roberts: That was a strange one.  I was disappointed at my overall speed, I was smashed on the climbs, but I rode the race out well.  My HR was up and just would not come down.  I wasn't taking it easy but I was staying off full-gas to make sure I didn't blow up.  Still ended up with a preposterous avg HR of 170.  I was aiming for maybe 163 but I barely got under that at any time.  I am glad to be riding out a (short) race, but need something like 20% more speed from somewhere.* *23/05/2022 Justin Morris: Hmm high heart rate can often mean you are quite fatigued. Your general numbers are all looking good though and nothing that should concern me - are you feeling a bit off at all? other than heart rate how are you feeling? lets just keep Monday tuesday light and keep me posted on how you're feeling and how the heart rate is going.* *23/05/2022 Matthew Roberts: I feel fine and felt fine in the race.*","1.05499994754791","3.52099990844727","","","","170","188","","","1.02762165557785","123.58","0","0","0","2","11","20","29","","","","","","","","","","","","","","8","7"
"Cycling","Bike","","","","2022-05-22","","4217.56982421875","","","","","0.870000004768372","1.34700000286102","","","","108","166","","","0.586810036791939","33.07","28","7","14","2","0","0","0","","","","","","","","","","","","","","",""
"Reco or light active recovery","Day Off","Suggest day off the bike to fully recover after yesterdays high heart rate. Cheers Fiona Can go for an easy spin ideally on mtb if possible.","","","2022-05-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"blowing out the cobwebs","Bike","A shorter session to sharpen up the legs and HR after the race on weekend. This will essentially 'blow out the cobwebs' so to speak.","0.749444444444444","","2022-05-24","","18181.220703125","","",""," *24/05/2022 Matthew Roberts: Opposite problem today. Legs have out before he got high. Btw- you gave me power numbers but I have no power meter ;)* *24/05/2022 Justin Morris: Sorry mate, I must have overlooked changing that back to HR. You paced this well looking at the file though, it did its job if legs feeling good by the end. Lingering fatigue from Sunday likely restricted how high the HR could go.*","0.789444446563721","6.39699983596802","","","","128","164","","","0.664572804304256","38.4","11","11","7","10","8","0","0","","","","","","","","","","","","","","7","9"
"MTB ride w/ 5x standing starts","MTB","2hr regular pace MTB ride, can make a commute. BUT 5 important things to do on this ride. Will work well with your commute. Come to track stand stop 5 times at any point during ride. From track stand: elbows out chest low to bike and FULL GAS sprint for 15s. Good start line practice!","2","","2022-05-25","","34674.33984375","","","","","1.95000004768372","4.93900012969971","","80","","118","165","","","0.610031295168582","81.74","38","28","37","10","4","0","0","","","","","","","","","","","","","","",""
"MTB commute with extra- steady pace","MTB","If you can today would be good to get a longer commute in, so only aim is to get the hours in. Keep the HR steady, under 150bpm approx.","2.5","","2022-05-26","","38412.4296875","","","","","2.64194440841675","4.03900003433228","","","","112","161","","","0.590156492352302","104.44","68","37","42","11","1","0","0","","","","","","","","","","","","","","",""
"Direct commute road bike only","Bike","No extra today but still steady pace under 150bpm.","2","","2022-05-27","","36667.4609375","","","","","1.60749995708466","6.33599996566772","","","","120","163","","","0.609857463384712","67.02","25","23","38","8","3","0","0","","","","","","","","","","","","","","",""
"Rest the legs","Day Off","Save power for tomorrow.","","","2022-05-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feet UP","Other","Lie on your back with butt slammed up against wall and legs vertcal. Old school trick to encourage recovery in legs. A must during tours, helps in hard training too.. Pushes 'bad toxins' out of legs.. Remain for 1-3min.","0.05","","2022-05-28","","","","","","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","5"
"Group ride- road","Bike","Definitely a big endurance day here would be spot on.","5","100000","2022-05-29","","104481.15625","","",""," *29/05/2022 Matthew Roberts: In the end there was a group, the gfb folk were out. I met them at glenorie. My head wasn’t in a good place most of the morning though.* *30/05/2022 Justin Morris: Nice work getting the duration in mate. That was the main aim so mission accomplished there. The miles seem to tick over much quicker when riding in a group also. Mentally through the distraction of conversation and also physically through the advantages of aero gains in a group.*","4.58638906478882","6.32800006866455","","80","","134","184","","","0.666021950647985","234.12","32","29","88","70","43","13","2","","","","","","","","","","","","","","3","5"
"POST hard session nutrition tips","Other","-BEFORE helmet comes off (upon finishing ride: TAKE SUGAR eg. can of coke, handful of lollies. -WITHIN 20mins of finishing: PROTEIN eg. shake or boiled egg. -WITHIN 1 hour of finishing: Meal!","","","2022-05-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2022-05-30","","15098.7900390625","","","","","0.765555560588837","5.47900009155273","","","","108","219","","","0.609141170202677","31.26","27","9","8","1","0","0","0","","","","","","","","","","","","","","",""
"Reco","Day Off","","","","2022-05-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ride today","Bike","Easy spin. If on the home trainer keep a lid on the duration at 40min.","1","","2022-06-01","","12727.7099609375","","","","","1.00833332538605","3.50600004196167","","78","","108","163","","","0.603996196902794","40.76","23","12","22","3","1","0","0","","","","","","","","","","","","","","1","1"
"MTB commute- steady pace","MTB","Just regular commute on MTB. Keep the HR steady, under 150bpm approx.","2","","2022-06-02","","30000","","","","","1.75","4.76190476190476","","","","","","","","","68","","","","","","","","","","","","","","","","","","","","","2","3"
"15s of fury!","Bike","This is the first of this kind of work we have done and it is worth giving a crack now some races on the radar. Also be interesting to see how your body reacts to this kind of work. So rather than the strength and endurance work we have been doing this is just hammering the pedals for a short intense period of time. 15s efforts, Spend the whole 15s out of the saddle and just hammering as hard as you can. Recovery is short between efforts which helps train the HR to drop more after a hard effort which is something that did not happen at yarramundi. Work this into longer ride 2hours or so.. Could work it into your commute. Focus on the sensation of effort! NOT any numbers!","0.875","","2022-06-03","","11981.1396484375","","",""," *03/06/2022 Matthew Roberts: I did not like that one :) Trying to fire up the legs while still struggling to breathe from the last 15s is not fun.  Kept running out of hill towards the end.* *04/06/2022 Matthew Roberts: Btw. The 3 hours seems to have become a normal clubbie at awaba*","0.877777755260468","3.79200005531311","","","","128","180","","","0.685665252248375","45.57","14","6","19","2","2","8","3","","","","","","","","","","","","","","10","7"
"Cycling","Bike","","","","2022-06-03","","20714.16015625","","","","","1.32027781009674","4.35799980163574","","","","106","142","","","0.585230362942888","50.44","48","15","15","1","0","0","0","","","","","","","","","","","","","","",""
"Bobbo x 2","Bike","Do the halfpipe- 1 Bobbo East and 1 Bobbo West. On 2nd one I want an effort FULL GAS from box to box (Mt Colah side)! Will end up being a good 20-30min of hard race pace effort. Should be good!! Rest of ride regular easy pace.","1.5","","2022-06-04","","30577.998046875","","",""," *05/06/2022 Matthew Roberts: HR was not connecting :(  I took a punt at the TSS, you should adjust if you like.  40 seconds quicker than last time up bobbo west. Within a minute of my PR now.* *06/06/2022 Justin Morris: Nice mate! Good work getting this done!*","1.46583333333333","6.50734157201","","","","","","","","","85","","","","","","","","","","","","","","","","","","","","","8","5"
"Endurance day","MTB","Another long day would be great this weekend ahead of the 3hr. MTB would be good just for the position. However, I know 4hrs on the MTB would be tedious if most trails are closed. Hence, roadie ok too.","4","","2022-06-05","","59562.28125","","",""," *05/06/2022 Matthew Roberts: MTB is always better than road. Still pretty muddy though* *05/06/2022 Matthew Roberts: Ride was ok and I followed the post rude rules from last week but I’m very tired now* *06/06/2022 Justin Morris: Good week in the legs completed, glad you feel cooked means you did it right.*","4.10805559158325","4.02699995040894","","82","","125","172","","","0.626474819791225","185.03","57","42","87","38","18","5","0","","","","","","","","","","","","","","4","5"
"Ride today","Bike","Easy spin. If on the home trainer keep a lid on the duration at 60min.","1.5","","2022-06-07","","23708.669921875","","",""," *07/06/2022 Matthew Roberts: In the trainer because it bloody rained and it was bloody cold* *09/06/2022 Justin Morris: Looks filthy back there at the moment. Glad you have developed an affinity for the home trainer this winter!*","1.08583331108093","6.06500005722046","","93","","119","189","","","0.607711806443796","44.52","15","11","35","2","1","1","0","","","","","","","","","","","","","","3","5"
"6,3,2,1's!","Bike","This would be a good one to do on the home trainer.","1.06666666666667","","2022-06-08","","23056.939453125","","",""," *08/06/2022 Matthew Roberts: Very not fun 😂* *09/06/2022 Justin Morris: Good to hear, you obviously did them properly :-). These types of efforts is what really gets the snap and the speed in the legs that you want for racing.*","1.06861114501953","5.99300003051758","","89","","130","193","","","0.708590423172871","59.54","18","9","10","7","10","7","3","","","","","","","","","","","","","","10","5"
"Cycling","Bike","","","","2022-06-09","","11148.58984375","","","","","0.669444441795349","4.62599992752075","","78","","117","151","","","0.609541560715709","27.28","13","9","14","4","0","0","0","","","","","","","","","","","","","","2","5"
"MTB commute","MTB","Keep it fun no stress.","2","","2022-06-09","","15464.3203125","","","","","1.32472217082977","3.24300003051758","","72","","118","225","","","0.645590109071461","61.6","22","19","26","8","0","0","0","","","","","","","","","","","","","","2","5"
"Easy day","Day Off","A reco day here to enable more power for those 2 hard days on the weekend.","","","2022-06-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Berowra Waters x1","Bike","Similar approach to last week but Berowra Waters rather than Bobbo. You have a few rollers on the way to get there but then down from Berowra to the ferry, U turn then full gas to the top see how quick you can get to the top.","2.5","","2022-06-11","","53049.91015625","","",""," *11/06/2022 Matthew Roberts: Within a minute of my pr up Berowra water east. 13:30 vs 12:48. Strava screwed up the segment though :(* *13/06/2022 Justin Morris: Nice!! That is promising and good to see the HR coming up. Generally means heart getting bigger/ stronger.*","2.34527778625488","6.28299999237061","","82","","137","183","","","0.697204568377882","129.01","10","16","52","32","12","7","12","","","","","","","","","","","","","","6","3"
"Immediately following ride- brisk walk","Walk","This will help consolidate the hard session on the bike and switch on the different muscle groups used in walking as opposed to riding. Don't feel like this is essential though Matt, as I know likely will have family etc commitments. It is a good technique that helps training but not the most important.","0.333333333333333","","2022-06-11","Not running but not walking either just tempo 6/10 walking pace.","","","",""," *11/06/2022 Matthew Roberts: Yeah, couldn’t head out again after walking in :). Mrs was hanging for me to get home to take over unruly kids* *13/06/2022 Justin Morris: Thats completely understandable.*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
